row col pixel_ID thisHyb thisSow thisLat thisLong thisRegion Bio_mean Bio_med Bio_sdv Bio_cv Y_mean Y_med Y_sdv Y_cv HI_med scenID pixel_scenID thisSow_n thisHyb_n perc
184 113 184_113 h1 s1 -43.525 172.025 11 16427.1200344828 16518.986 1642.3722615409 9.99793182306658 6603.44834482759 6554.815 2030.44258134537 30.7482163154315 0.402 h1_s1 184_113_h1_s1 1 1 0.28
184 113 184_113 h1 s2 -43.525 172.025 11 17522.1976206897 17613.568 1229.96460476649 7.01946543117506 9103.07062068966 9690.996 1668.08016989332 18.324368110493 0.554 h1_s2 184_113_h1_s2 2 1 0.4
184 113 184_113 h1 s3 -43.525 172.025 11 17088.4306896552 17093.783 1239.68501358969 7.25452814306791 9298.62906896552 9289.223 1329.79567219219 14.3009863317424 0.564 h1_s3 184_113_h1_s3 3 1 0.36
184 113 184_113 h1 s4 -43.525 172.025 11 15622.2779310345 15748.258 1205.8154787951 7.71856373390773 8322.35993103448 8782.12 1398.90535589727 16.8089984990998 0.553 h1_s4 184_113_h1_s4 4 1 0.24
184 113 184_113 h1 s5 -43.525 172.025 11 11752.1729310345 11742.647 1157.16165100319 9.84636337291651 5195.59968965517 5339.607 1177.48811491294 22.6631800994485 0.428 h1_s5 184_113_h1_s5 5 1 0.12
184 113 184_113 h2 s1 -43.525 172.025 11 19086.3742413793 18744.51 1686.05556717698 8.83381802040538 8566.52286206896 8869.34 1941.77863096948 22.6670571273127 0.444 h2_s1 184_113_h2_s1 1 2 0.56
184 113 184_113 h2 s2 -43.525 172.025 11 19709.4975517241 19823.594 1390.26317975654 7.05377281236132 10549.8183448276 10475.489 1265.88536582621 11.9991200269989 0.541 h2_s2 184_113_h2_s2 2 2 0.64
184 113 184_113 h2 s3 -43.525 172.025 11 18818.8715517241 18780.797 1349.18093015685 7.16929772568239 10233.1950344828 10789.66 1543.97938109256 15.0879503018346 0.558 h2_s3 184_113_h2_s3 3 2 0.6
184 113 184_113 h2 s4 -43.525 172.025 11 17035.3299655172 17062.914 1185.17250105633 6.95714437850832 8870.58448275862 9255.584 1349.75777150682 15.2161086355728 0.534 h2_s4 184_113_h2_s4 4 2 0.32
184 113 184_113 h2 s5 -43.525 172.025 11 12102.7445862069 12007.603 1200.6944888895 9.92084465087273 4671.39862068966 4722.686 1246.55306983653 26.6847933789153 0.382 h2_s5 184_113_h2_s5 5 2 0.2
184 113 184_113 h3 s1 -43.525 172.025 11 21553.610862069 21477.248 1500.18977794844 6.96027123969534 9962.97027586207 9944.703 2129.58238599362 21.3749748019734 0.475 h3_s1 184_113_h3_s1 1 3 0.8
184 113 184_113 h3 s2 -43.525 172.025 11 21508.7073793103 21645.363 1468.78261128388 6.82878141108902 11738.6437931034 11973.846 1342.74604385789 11.4386812269299 0.555 h3_s2 184_113_h3_s2 2 3 0.84
184 113 184_113 h3 s3 -43.525 172.025 11 20226.7173793103 20186.461 1333.99894734148 6.59523205038702 10729.7986896552 11023.556 1522.69693562041 14.1912908122729 0.543 h3_s3 184_113_h3_s3 3 3 0.68
184 113 184_113 h3 s4 -43.525 172.025 11 17897.235 17949.777 1357.97057041783 7.58759981873083 8992.96020689655 9314.896 1162.92831706403 12.9315407864499 0.515 h3_s4 184_113_h3_s4 4 3 0.48
184 113 184_113 h3 s5 -43.525 172.025 11 12071.5719655172 11939.854 1198.16146485705 9.92548003093242 3801.74262068966 3751.793 1445.95342571323 38.0339641574927 0.318 h3_s5 184_113_h3_s5 5 3 0.16
184 113 184_113 h4 s1 -43.525 172.025 11 22866.0892068966 22761.467 1491.78767571249 6.52401756248968 11672.4545172414 11994.754 1917.78375284815 16.4299955079319 0.537 h4_s1 184_113_h4_s1 1 4 0.92
184 113 184_113 h4 s2 -43.525 172.025 11 22484.0798275862 22695.791 1395.91461302978 6.20845782319764 11944.9282758621 12157.606 1324.0732376054 11.084815304258 0.541 h4_s2 184_113_h4_s2 2 4 0.88
184 113 184_113 h4 s3 -43.525 172.025 11 20842.061137931 21056.695 1306.59722837086 6.26904037812722 11012.5321724138 11328.699 1287.5912770615 11.6920546237939 0.536 h4_s3 184_113_h4_s3 3 4 0.72
184 113 184_113 h4 s4 -43.525 172.025 11 17836.7534137931 18150.914 1295.55919587072 7.26342493959055 8913.402 9122.123 1033.80946784664 11.5983713945208 0.512 h4_s4 184_113_h4_s4 4 4 0.52
184 113 184_113 h4 s5 -43.525 172.025 11 11429.3030344828 11186.536 1137.66655621861 9.95394515996486 2935.34889655172 2731.459 1140.34194611145 38.8485998189535 0.237 h4_s5 184_113_h4_s5 5 4 0.08
184 113 184_113 h5 s1 -43.525 172.025 11 23985.8622413793 23919.162 1584.32750463264 6.60525558217969 12576.3207586207 12669.46 1431.01893375831 11.3786771284232 0.529 h5_s1 184_113_h5_s1 1 5 1
184 113 184_113 h5 s2 -43.525 172.025 11 23295.5490689655 23310.885 1453.59672170873 6.23980451117684 12194.6006206897 12351.037 1464.9892259542 12.0134252159818 0.535 h5_s2 184_113_h5_s2 2 5 0.96
184 113 184_113 h5 s3 -43.525 172.025 11 21331.1833448276 21474.76 1287.42435277992 6.0354099065587 10893.7798965517 11042.52 1231.58627861535 11.305408134831 0.519 h5_s3 184_113_h5_s3 3 5 0.76
184 113 184_113 h5 s4 -43.525 172.025 11 17674.5596551724 17898.209 1408.21728386248 7.96748157428844 8174.88351724138 7925.879 1386.433643601 16.9596746018084 0.464 h5_s4 184_113_h5_s4 4 5 0.44
184 113 184_113 h5 s5 -43.525 172.025 11 10944.7454827586 10889.634 1122.71898384425 10.2580638865735 2161.23713793103 1981.51 970.975169551567 44.9268223514375 0.191 h5_s5 184_113_h5_s5 5 5 0.04
